"","...1","method","dataset","series","time_fit","time_detect","time_detect_RT","time_RT","precision","recall","f1","precision_soft","recall_soft","f1_soft","precision_RT","recall_RT","f1_RT","precision_RT_soft","recall_RT_soft","f1_RT_soft"
"23",23,"fbiad","A3Benchmark","TS29",2.05039978027344e-05,0.0175542831420898,0.258973836898804,3.49174642562866,0.142857142857143,0.75,0.24,0.171428571428571,0.9,0.288,0.235294117647059,1,0.380952380952381,0.235294117647059,1,0.380952380952381
"24",24,"fbiad","A3Benchmark","TS3",3.17096710205078e-05,0.0135114192962646,0.00868105888366699,1.44209909439087,0.444444444444444,0.666666666666667,0.533333333333333,0.444444444444444,0.666666666666667,0.533333333333333,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"25",25,"fbiad","A3Benchmark","TS30",3.64780426025391e-05,0.023848295211792,0.00932693481445312,2.42391967773438,0.291666666666667,0.875,0.4375,0.291666666666667,0.875,0.4375,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"26",26,"fbiad","A3Benchmark","TS31",2.05039978027344e-05,0.0175876617431641,0.00945591926574707,1.65661907196045,1,0.571428571428571,0.727272727272727,1,0.571428571428571,0.727272727272727,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"27",27,"fbiad","A3Benchmark","TS32",3.95774841308594e-05,0.0227406024932861,0.0154941082000732,3.5628924369812,0.321428571428571,0.642857142857143,0.428571428571429,0.321428571428571,0.642857142857143,0.428571428571429,0.4,0.714285714285714,0.512820512820513,0.528,0.942857142857143,0.676923076923077
"28",28,"fbiad","A3Benchmark","TS33",3.48091125488281e-05,0.0136177539825439,0.0153012275695801,2.29844665527344,0.368421052631579,0.875,0.518518518518518,0.368421052631579,0.875,0.518518518518518,0.4,1,0.571428571428572,0.4,1,0.571428571428572
"29",29,"fbiad","A3Benchmark","TS34",3.93390655517578e-05,0.471384048461914,0.00911498069763184,1.88108372688293,0.0256410256410256,1,0.05,0.0256410256410256,1,0.05,0.0294117647058824,1,0.0571428571428571,0.0294117647058824,1,0.0571428571428571
"30",30,"fbiad","A3Benchmark","TS35",3.60012054443359e-05,0.0128335952758789,0.0153014659881592,3.52937865257263,0.5,1,0.666666666666667,0.5,1,0.666666666666667,0.333333333333333,1,0.5,0.333333333333333,1,0.5
"31",31,"fbiad","A3Benchmark","TS36",2.12192535400391e-05,0.0095674991607666,0.00883889198303223,5.79174757003784,0.142857142857143,0.75,0.24,0.180952380952381,0.95,0.304,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"32",32,"fbiad","A3Benchmark","TS37",3.45706939697266e-05,0.024803638458252,0.00916075706481934,4.26252174377441,0.380952380952381,0.8,0.516129032258065,0.419047619047619,0.88,0.567741935483871,0.476190476190476,1,0.645161290322581,0.476190476190476,1,0.645161290322581
"33",33,"fbiad","A3Benchmark","TS38",3.4332275390625e-05,0.0251646041870117,0.00864934921264648,1.50129318237305,0.0666666666666667,0.666666666666667,0.121212121212121,0.0666666666666667,0.666666666666667,0.121212121212121,0.428571428571429,1,0.6,0.428571428571429,1,0.6
"34",34,"fbiad","A3Benchmark","TS39",3.50475311279297e-05,0.0241084098815918,0.00872969627380371,2.51613211631775,0.256410256410256,0.833333333333333,0.392156862745098,0.256410256410256,0.833333333333333,0.392156862745098,0.461538461538462,1,0.631578947368421,0.461538461538462,1,0.631578947368421
"35",35,"fbiad","A3Benchmark","TS4",5.29289245605469e-05,0.0140156745910645,0.0165069103240967,4.02470421791077,0.416666666666667,0.833333333333333,0.555555555555556,0.416666666666667,0.833333333333333,0.555555555555556,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"36",36,"fbiad","A3Benchmark","TS40",3.31401824951172e-05,0.0129678249359131,0.00894570350646973,2.45372295379639,0.888888888888889,0.8,0.842105263157895,0.888888888888889,0.8,0.842105263157895,0.444444444444444,0.8,0.571428571428571,0.533333333333333,0.96,0.685714285714286
"37",37,"fbiad","A3Benchmark","TS41",3.48091125488281e-05,0.0250020027160645,0.01025390625,1.76120829582214,1,0.714285714285714,0.833333333333333,1,0.714285714285714,0.833333333333333,0.481481481481481,0.928571428571429,0.634146341463415,0.511111111111111,0.985714285714286,0.673170731707317
"38",38,"fbiad","A3Benchmark","TS42",2.24113464355469e-05,0.0175528526306152,0.00866198539733887,11.9129152297974,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.875,0.636363636363636,0.557142857142857,0.975,0.709090909090909
"39",39,"fbiad","A3Benchmark","TS43",3.40938568115234e-05,0.0281426906585693,0.0110058784484863,2.07641434669495,0.416666666666667,0.666666666666667,0.512820512820513,0.416666666666667,0.666666666666667,0.512820512820513,0.458333333333333,0.733333333333333,0.564102564102564,0.591666666666667,0.946666666666667,0.728205128205128
"40",40,"fbiad","A3Benchmark","TS44",3.64780426025391e-05,0.0127642154693604,0.0163154602050781,2.99532079696655,0.923076923076923,0.75,0.827586206896552,0.923076923076923,0.75,0.827586206896552,0.464285714285714,0.8125,0.590909090909091,0.55,0.9625,0.7
"41",41,"fbiad","A3Benchmark","TS45",4.1961669921875e-05,0.0274605751037598,0.00870823860168457,2.06006932258606,0.137931034482759,0.8,0.235294117647059,0.137931034482759,0.8,0.235294117647059,0.133333333333333,0.8,0.228571428571429,0.16,0.96,0.274285714285714
"42",42,"fbiad","A3Benchmark","TS46",3.36170196533203e-05,0.0131101608276367,0.00868701934814453,3.33338093757629,0.3,1,0.461538461538462,0.3,1,0.461538461538462,0.272727272727273,1,0.428571428571429,0.272727272727273,1,0.428571428571429
"43",43,"fbiad","A3Benchmark","TS47",3.79085540771484e-05,0.0129303932189941,0.0165934562683105,3.37370157241821,0.571428571428571,0.8,0.666666666666667,0.571428571428571,0.8,0.666666666666667,0.464285714285714,0.866666666666667,0.604651162790698,0.521428571428571,0.973333333333333,0.67906976744186
"44",44,"fbiad","A3Benchmark","TS48",3.55243682861328e-05,0.0137438774108887,0.00899219512939453,3.08235859870911,0.263157894736842,0.769230769230769,0.392156862745098,0.278947368421053,0.815384615384615,0.415686274509804,0.458333333333333,0.846153846153846,0.594594594594595,0.525,0.969230769230769,0.681081081081081
"45",45,"fbiad","A3Benchmark","TS49",3.45706939697266e-05,0.0262835025787354,0.0090484619140625,2.2837393283844,0.608695652173913,0.875,0.717948717948718,0.608695652173913,0.875,0.717948717948718,0.428571428571429,0.75,0.545454545454545,0.542857142857143,0.95,0.690909090909091
"46",46,"fbiad","A3Benchmark","TS5",3.98159027099609e-05,0.0132379531860352,0.00872611999511719,1.38769054412842,0.181818181818182,1,0.307692307692308,0.181818181818182,1,0.307692307692308,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"47",47,"fbiad","A3Benchmark","TS50",3.74317169189453e-05,0.0129451751708984,0.00922918319702148,2.42600870132446,0.0909090909090909,0.714285714285714,0.161290322580645,0.0909090909090909,0.714285714285714,0.161290322580645,0.428571428571429,0.857142857142857,0.571428571428571,0.485714285714286,0.971428571428571,0.647619047619048
"48",48,"fbiad","A3Benchmark","TS51",3.24249267578125e-05,0.0269539356231689,0.00864028930664062,5.39845848083496,0.909090909090909,0.769230769230769,0.833333333333333,0.909090909090909,0.769230769230769,0.833333333333333,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"49",49,"fbiad","A3Benchmark","TS52",3.71932983398438e-05,0.0128641128540039,0.00861859321594238,2.35567903518677,0.363636363636364,0.666666666666667,0.470588235294118,0.363636363636364,0.666666666666667,0.470588235294118,0.454545454545455,0.833333333333333,0.588235294117647,0.527272727272727,0.966666666666667,0.68235294117647
"50",50,"fbiad","A3Benchmark","TS53",3.48091125488281e-05,0.0129094123840332,0.00917744636535645,1.6169011592865,1,0.733333333333333,0.846153846153846,1,0.733333333333333,0.846153846153846,0.482758620689655,0.933333333333333,0.636363636363636,0.510344827586207,0.986666666666667,0.672727272727273
"51",51,"fbiad","A3Benchmark","TS54",3.79085540771484e-05,0.0128092765808105,0.00901269912719727,3.39331245422363,0.866666666666667,0.8125,0.838709677419355,0.866666666666667,0.8125,0.838709677419355,0.535714285714286,0.9375,0.681818181818182,0.564285714285714,0.9875,0.718181818181818
"52",52,"fbiad","A3Benchmark","TS55",3.29017639160156e-05,0.0128624439239502,0.0168964862823486,2.46568870544434,1,0.75,0.857142857142857,1,0.75,0.857142857142857,0.478260869565217,0.916666666666667,0.628571428571429,0.51304347826087,0.983333333333333,0.674285714285714
"53",53,"fbiad","A3Benchmark","TS56",3.31401824951172e-05,0.0134835243225098,0.0164437294006348,3.22602844238281,0.05,1,0.0952380952380952,0.05,1,0.0952380952380952,0.0625,1,0.117647058823529,0.0625,1,0.117647058823529
"54",54,"fbiad","A3Benchmark","TS57",3.64780426025391e-05,0.0132107734680176,0.00873732566833496,2.49472546577454,0.461538461538462,0.666666666666667,0.545454545454546,0.461538461538462,0.666666666666667,0.545454545454546,0.473684210526316,1,0.642857142857143,0.473684210526316,1,0.642857142857143
"55",55,"fbiad","A3Benchmark","TS58",3.45706939697266e-05,0.0132510662078857,0.00891232490539551,3.60449194908142,0.0303030303030303,0.333333333333333,0.0555555555555556,0.0787878787878788,0.866666666666667,0.144444444444444,0.3,1,0.461538461538462,0.3,1,0.461538461538462
"56",56,"fbiad","A3Benchmark","TS59",3.67164611816406e-05,0.013866662979126,0.0162625312805176,2.78102231025696,0.333333333333333,0.909090909090909,0.48780487804878,0.333333333333333,0.909090909090909,0.48780487804878,0.44,1,0.611111111111111,0.44,1,0.611111111111111
"57",57,"fbiad","A3Benchmark","TS6",3.62396240234375e-05,0.0133602619171143,0.0091392993927002,1.63632249832153,0.75,1,0.857142857142857,0.75,1,0.857142857142857,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"58",58,"fbiad","A3Benchmark","TS60",5.14984130859375e-05,0.015754222869873,0.00869107246398926,1.29331469535828,0.368421052631579,0.583333333333333,0.451612903225806,0.410526315789474,0.65,0.503225806451613,0.478260869565217,0.916666666666667,0.628571428571429,0.51304347826087,0.983333333333333,0.674285714285714
"59",59,"fbiad","A3Benchmark","TS61",3.69548797607422e-05,0.026820182800293,0.00900387763977051,3.22209072113037,0.6,0.692307692307692,0.642857142857143,0.6,0.692307692307692,0.642857142857143,0.481481481481481,1,0.65,0.481481481481481,1,0.65
"60",60,"fbiad","A3Benchmark","TS62",4.22000885009766e-05,0.012840747833252,0.00944423675537109,3.51331424713135,0.4,0.5,0.444444444444444,0.4,0.5,0.444444444444444,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"61",61,"fbiad","A3Benchmark","TS63",3.38554382324219e-05,0.0135817527770996,0.00899958610534668,2.66165661811829,0.583333333333333,0.7,0.636363636363636,0.583333333333333,0.7,0.636363636363636,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"62",62,"fbiad","A3Benchmark","TS64",3.62396240234375e-05,0.0131244659423828,0.0088505744934082,1.46948766708374,1,1,1,1,1,1,0.533333333333333,1,0.695652173913044,0.533333333333333,1,0.695652173913044
"63",63,"fbiad","A3Benchmark","TS65",3.4332275390625e-05,0.013063907623291,0.0086815357208252,2.07103657722473,0.375,0.428571428571429,0.4,0.375,0.428571428571429,0.4,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"64",64,"fbiad","A3Benchmark","TS66",3.93390655517578e-05,0.0128321647644043,0.00902652740478516,1.76390695571899,0.0833333333333333,1,0.153846153846154,0.0833333333333333,1,0.153846153846154,0.333333333333333,1,0.5,0.333333333333333,1,0.5
"65",65,"fbiad","A3Benchmark","TS67",3.67164611816406e-05,0.0132098197937012,0.0093233585357666,3.35676193237305,0.923076923076923,0.75,0.827586206896552,0.923076923076923,0.75,0.827586206896552,0.5,0.9375,0.652173913043478,0.526666666666667,0.9875,0.686956521739131
"66",66,"fbiad","A3Benchmark","TS68",3.60012054443359e-05,0.0359044075012207,0.00868511199951172,2.38187646865845,1,0.625,0.769230769230769,1,0.625,0.769230769230769,0.535714285714286,0.9375,0.681818181818182,0.564285714285714,0.9875,0.718181818181818
"67",67,"fbiad","A3Benchmark","TS69",3.4332275390625e-05,0.0269412994384766,0.00920748710632324,3.47061133384705,0.315789473684211,0.857142857142857,0.461538461538462,0.315789473684211,0.857142857142857,0.461538461538462,0.388888888888889,1,0.56,0.388888888888889,1,0.56
